date,neighborhood,city,cases
2020-03-22,Arcadia,Arcadia,2
2020-03-23,Arcadia,Arcadia,3
2020-03-24,Arcadia,Arcadia,4
2020-03-25,Arcadia,Arcadia,4
2020-03-26,Arcadia,Arcadia,6
2020-03-27,Arcadia,City of Arcadia,6
2020-03-27,Arcadia,Unincorporated,0
2020-03-10,Arleta,NA,NA
2020-03-11,Arleta,NA,NA
2020-03-12,Arleta,NA,NA
2020-03-13,Arleta,NA,NA
2020-03-14,Arleta,NA,NA
2020-03-15,Arleta,NA,NA
2020-03-16,Arleta,NA,NA
2020-03-17,Arleta,NA,NA
2020-03-18,Arleta,NA,NA
2020-03-19,Arleta,NA,NA
2020-03-20,Arleta,NA,NA
2020-03-21,Arleta,NA,NA
2020-03-22,Arleta,NA,NA
2020-03-23,Arleta,NA,NA
2020-03-24,Arleta,NA,NA
2020-03-25,Arleta,Arleta,1
2020-03-26,Arleta,Arleta,2
2020-03-27,Arleta,Los Angeles,2
2020-03-10,Arlington Heights,NA,NA
2020-03-11,Arlington Heights,NA,NA
2020-03-12,Arlington Heights,NA,NA
2020-03-13,Arlington Heights,NA,NA
2020-03-14,Arlington Heights,NA,NA
2020-03-15,Arlington Heights,NA,NA
2020-03-16,Arlington Heights,NA,NA
2020-03-17,Arlington Heights,NA,NA
2020-03-18,Arlington Heights,NA,NA
2020-03-19,Arlington Heights,NA,NA
2020-03-20,Arlington Heights,NA,NA
2020-03-21,Arlington Heights,NA,NA
2020-03-22,Arlington Heights,NA,NA
2020-03-23,Arlington Heights,NA,NA
2020-03-24,Arlington Heights,NA,NA
2020-03-25,Arlington Heights,NA,NA
2020-03-26,Arlington Heights,NA,NA
2020-03-27,Arlington Heights,NA,NA
2020-03-10,Artesia,NA,NA
2020-03-11,Artesia,NA,NA
2020-03-12,Artesia,NA,NA
2020-03-13,Artesia,NA,NA
2020-03-14,Artesia,NA,NA
2020-03-15,Artesia,NA,NA
2020-03-16,Artesia,NA,NA
2020-03-17,Artesia,NA,NA
2020-03-18,Artesia,NA,NA
2020-03-19,Artesia,NA,NA
2020-03-20,Artesia,NA,NA
2020-03-21,Artesia,NA,NA
2020-03-22,Artesia,NA,NA
2020-03-23,Artesia,NA,NA
2020-03-24,Artesia,NA,NA
2020-03-25,Artesia,NA,NA
2020-03-26,Artesia,NA,NA
2020-03-27,Artesia,NA,NA
2020-03-10,Athens,NA,NA
2020-03-11,Athens,NA,NA
2020-03-12,Athens,NA,NA
2020-03-13,Athens,NA,NA
2020-03-14,Athens,NA,NA
2020-03-15,Athens,NA,NA
2020-03-16,Athens,NA,NA
2020-03-17,Athens,NA,NA
2020-03-18,Athens,NA,NA
2020-03-19,Athens,NA,NA
2020-03-20,Athens,NA,NA
2020-03-21,Athens,NA,NA
2020-03-22,Athens,Athens,1
2020-03-23,Athens,Athens,1
2020-03-24,Athens,Athens,1
2020-03-25,Athens,Athens,1
2020-03-26,Athens,Athens,3
2020-03-27,Athens,NA,NA
2020-03-10,Atwater Village,NA,NA
2020-03-11,Atwater Village,NA,NA
2020-03-12,Atwater Village,NA,NA
2020-03-13,Atwater Village,NA,NA
2020-03-14,Atwater Village,NA,NA
2020-03-15,Atwater Village,NA,NA
2020-03-16,Atwater Village,NA,NA
2020-03-17,Atwater Village,NA,NA
2020-03-18,Atwater Village,NA,NA
2020-03-19,Atwater Village,NA,NA
2020-03-20,Atwater Village,NA,NA
2020-03-21,Atwater Village,NA,NA
2020-03-22,Atwater Village,NA,NA
2020-03-23,Atwater Village,NA,NA
2020-03-24,Atwater Village,NA,NA
2020-03-25,Atwater Village,NA,NA
2020-03-26,Atwater Village,NA,NA
2020-03-27,Atwater Village,Los Angeles,0
2020-03-10,Avalon,NA,NA
2020-03-11,Avalon,NA,NA
2020-03-12,Avalon,NA,NA
2020-03-13,Avalon,NA,NA
2020-03-14,Avalon,NA,NA
2020-03-15,Avalon,NA,NA
2020-03-16,Avalon,NA,NA
2020-03-17,Avalon,NA,NA
2020-03-18,Avalon,NA,NA
2020-03-19,Avalon,NA,NA
2020-03-20,Avalon,NA,NA
2020-03-21,Avalon,NA,NA
2020-03-22,Avalon,NA,NA
2020-03-23,Avalon,NA,NA
2020-03-24,Avalon,NA,NA
2020-03-25,Avalon,NA,NA
2020-03-26,Avalon,NA,NA
2020-03-27,Avalon,City of Avalon,0
2020-03-10,Avocado Heights,NA,NA
2020-03-11,Avocado Heights,NA,NA
2020-03-12,Avocado Heights,NA,NA
2020-03-13,Avocado Heights,NA,NA
2020-03-14,Avocado Heights,NA,NA
2020-03-15,Avocado Heights,NA,NA
2020-03-16,Avocado Heights,NA,NA
2020-03-17,Avocado Heights,NA,NA
2020-03-18,Avocado Heights,NA,NA
2020-03-19,Avocado Heights,NA,NA
2020-03-20,Avocado Heights,NA,NA
2020-03-21,Avocado Heights,NA,NA
2020-03-22,Avocado Heights,NA,NA
2020-03-23,Avocado Heights,NA,NA
2020-03-24,Avocado Heights,NA,NA
2020-03-25,Avocado Heights,NA,NA
2020-03-26,Avocado Heights,NA,NA
2020-03-27,Avocado Heights,Unincorporated,0
2020-03-10,Azusa,NA,NA
2020-03-11,Azusa,NA,NA
2020-03-12,Azusa,NA,NA
2020-03-13,Azusa,NA,NA
2020-03-14,Azusa,NA,NA
2020-03-15,Azusa,NA,NA
2020-03-16,Azusa,NA,NA
2020-03-17,Azusa,NA,NA
2020-03-18,Azusa,NA,NA
2020-03-19,Azusa,NA,NA
2020-03-20,Azusa,NA,NA
2020-03-21,Azusa,NA,NA
2020-03-22,Azusa,NA,NA
2020-03-23,Azusa,NA,NA
2020-03-24,Azusa,NA,NA
2020-03-25,Azusa,NA,NA
2020-03-26,Azusa,Azusa*,1
2020-03-27,Azusa,City of Azusa,1
2020-03-27,Azusa,Unincorporated,0
2020-03-10,Baldwin Hills/Crenshaw,NA,NA
2020-03-11,Baldwin Hills/Crenshaw,NA,NA
2020-03-12,Baldwin Hills/Crenshaw,NA,NA
2020-03-13,Baldwin Hills/Crenshaw,NA,NA
2020-03-14,Baldwin Hills/Crenshaw,NA,NA
2020-03-15,Baldwin Hills/Crenshaw,NA,NA
2020-03-16,Baldwin Hills/Crenshaw,NA,NA
2020-03-17,Baldwin Hills/Crenshaw,NA,NA
2020-03-18,Baldwin Hills/Crenshaw,NA,NA
2020-03-19,Baldwin Hills/Crenshaw,NA,NA
2020-03-20,Baldwin Hills/Crenshaw,NA,NA
2020-03-21,Baldwin Hills/Crenshaw,NA,NA
2020-03-22,Baldwin Hills/Crenshaw,NA,NA
2020-03-23,Baldwin Hills/Crenshaw,NA,NA
2020-03-24,Baldwin Hills/Crenshaw,NA,NA
2020-03-25,Baldwin Hills/Crenshaw,NA,NA
2020-03-26,Baldwin Hills/Crenshaw,NA,NA
2020-03-27,Baldwin Hills/Crenshaw,NA,NA
2020-03-10,Baldwin Park,NA,NA
2020-03-11,Baldwin Park,NA,NA
2020-03-12,Baldwin Park,NA,NA
2020-03-13,Baldwin Park,NA,NA
2020-03-14,Baldwin Park,NA,NA
2020-03-15,Baldwin Park,NA,NA
2020-03-16,Baldwin Park,NA,NA
2020-03-17,Baldwin Park,NA,NA
