region,community,cases,date
UNINCORPORATED,ACTON,0,2020-03-27
UNINCORPORATED,ACTON,0,2020-03-28
LOS ANGELES,ADAMS-NORMANDIE,NA,2020-03-27
LOS ANGELES,ADAMS-NORMANDIE,NA,2020-03-28
NA,AGOURA HILLS,1,2020-03-23
NA,AGOURA HILLS,3,2020-03-24
NA,AGOURA HILLS,3,2020-03-25
NA,AGOURA HILLS,5,2020-03-26
NA,AGOURA HILLS,6,2020-03-27
NA,AGOURA HILLS,9,2020-03-28
UNINCORPORATED,AGUA DULCE,0,2020-03-27
UNINCORPORATED,AGUA DULCE,0,2020-03-28
NA,ALHAMBRA,1,2020-03-17
NA,ALHAMBRA,1,2020-03-18
NA,ALHAMBRA,2,2020-03-19
NA,ALHAMBRA,3,2020-03-20
NA,ALHAMBRA,3,2020-03-21
NA,ALHAMBRA,3,2020-03-22
NA,ALHAMBRA,4,2020-03-23
NA,ALHAMBRA,5,2020-03-24
NA,ALHAMBRA,6,2020-03-25
NA,ALHAMBRA,8,2020-03-26
NA,ALHAMBRA,8,2020-03-27
NA,ALHAMBRA,10,2020-03-28
LOS ANGELES,ALSACE,NA,2020-03-27
LOS ANGELES,ALSACE,NA,2020-03-28
NA,ALTADENA,1,2020-03-17
NA,ALTADENA,2,2020-03-20
NA,ALTADENA,3,2020-03-21
NA,ALTADENA,3,2020-03-22
NA,ALTADENA,5,2020-03-23
NA,ALTADENA,5,2020-03-24
NA,ALTADENA,5,2020-03-25
NA,ALTADENA,6,2020-03-26
UNINCORPORATED,ALTADENA,9,2020-03-27
UNINCORPORATED,ALTADENA,10,2020-03-28
UNINCORPORATED,ANAVERDE,0,2020-03-27
UNINCORPORATED,ANAVERDE,0,2020-03-28
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-03-27
LOS ANGELES,ANGELES NATIONAL FOREST,0,2020-03-28
UNINCORPORATED,ANGELES NATIONAL FOREST,0,2020-03-28
LOS ANGELES,ANGELINO HEIGHTS,0,2020-03-27
LOS ANGELES,ANGELINO HEIGHTS,0,2020-03-28
NA,ARCADIA,1,2020-03-17
NA,ARCADIA,2,2020-03-18
NA,ARCADIA,2,2020-03-19
NA,ARCADIA,2,2020-03-20
NA,ARCADIA,2,2020-03-21
NA,ARCADIA,2,2020-03-22
NA,ARCADIA,3,2020-03-23
NA,ARCADIA,4,2020-03-24
NA,ARCADIA,4,2020-03-25
NA,ARCADIA,6,2020-03-26
NA,ARCADIA,6,2020-03-27
UNINCORPORATED,ARCADIA,0,2020-03-27
NA,ARCADIA,8,2020-03-28
UNINCORPORATED,ARCADIA,0,2020-03-28
NA,ARLETA,1,2020-03-25
NA,ARLETA,2,2020-03-26
LOS ANGELES,ARLETA,2,2020-03-27
LOS ANGELES,ARLETA,4,2020-03-28
NA,ARTESIA,NA,2020-03-27
NA,ARTESIA,NA,2020-03-28
NA,ATHENS,1,2020-03-22
NA,ATHENS,1,2020-03-23
NA,ATHENS,1,2020-03-24
NA,ATHENS,1,2020-03-25
NA,ATHENS,3,2020-03-26
UNINCORPORATED,ATHENS VILLAGE,0,2020-03-27
UNINCORPORATED,ATHENS VILLAGE,0,2020-03-28
UNINCORPORATED,ATHENS-WESTMONT,5,2020-03-27
UNINCORPORATED,ATHENS-WESTMONT,7,2020-03-28
LOS ANGELES,ATWATER VILLAGE,0,2020-03-27
LOS ANGELES,ATWATER VILLAGE,NA,2020-03-28
NA,AVALON,0,2020-03-27
NA,AVALON,0,2020-03-28
UNINCORPORATED,AVOCADO HEIGHTS,0,2020-03-27
UNINCORPORATED,AVOCADO HEIGHTS,0,2020-03-28
NA,AZUSA,1,2020-03-26
NA,AZUSA,1,2020-03-27
UNINCORPORATED,AZUSA,0,2020-03-27
NA,AZUSA,1,2020-03-28
UNINCORPORATED,AZUSA,0,2020-03-28
NA,BALDWIN HILLS,1,2020-03-17
LOS ANGELES,BALDWIN HILLS,1,2020-03-18
NA,BALDWIN HILLS,1,2020-03-19
NA,BALDWIN HILLS,1,2020-03-20
NA,BALDWIN HILLS,2,2020-03-21
NA,BALDWIN HILLS,3,2020-03-22
NA,BALDWIN HILLS,3,2020-03-23
NA,BALDWIN HILLS,3,2020-03-24
NA,BALDWIN HILLS,3,2020-03-25
NA,BALDWIN HILLS,4,2020-03-26
LOS ANGELES,BALDWIN HILLS,5,2020-03-27
LOS ANGELES,BALDWIN HILLS,7,2020-03-28
NA,BALDWIN PARK,0,2020-03-27
NA,BALDWIN PARK,0,2020-03-28
UNINCORPORATED,BANDINI ISLANDS,0,2020-03-28
UNINCORPORATED,BASSETT,0,2020-03-27
UNINCORPORATED,BASSETT,0,2020-03-28
LOS ANGELES,BEL AIR,6,2020-03-27
LOS ANGELES,BEL AIR,8,2020-03-28
NA,BELL,2,2020-03-26
NA,BELL,4,2020-03-27
NA,BELL,5,2020-03-28
NA,BELL GARDENS,3,2020-03-25
NA,BELL GARDENS,3,2020-03-26
NA,BELL GARDENS,1,2020-03-27
NA,BELL GARDENS,1,2020-03-28
NA,BELLFLOWER,1,2020-03-22
NA,BELLFLOWER,3,2020-03-23
NA,BELLFLOWER,3,2020-03-24
NA,BELLFLOWER,7,2020-03-25
NA,BELLFLOWER,8,2020-03-26
NA,BELLFLOWER,10,2020-03-27
NA,BELLFLOWER,12,2020-03-28
LOS ANGELES,BEVERLY CREST,14,2020-03-27
LOS ANGELES,BEVERLY CREST,17,2020-03-28
NA,BEVERLY HILLS,1,2020-03-17
NA,BEVERLY HILLS,4,2020-03-18
NA,BEVERLY HILLS,4,2020-03-19
NA,BEVERLY HILLS,5,2020-03-20
NA,BEVERLY HILLS,7,2020-03-21
NA,BEVERLY HILLS,8,2020-03-22
NA,BEVERLY HILLS,12,2020-03-23
NA,BEVERLY HILLS,12,2020-03-24
NA,BEVERLY HILLS,13,2020-03-25
NA,BEVERLY HILLS,15,2020-03-26
NA,BEVERLY HILLS,21,2020-03-27
NA,BEVERLY HILLS,21,2020-03-28
NA,BEVERLYWOOD,2,2020-03-19
NA,BEVERLYWOOD,2,2020-03-20
NA,BEVERLYWOOD,5,2020-03-21
NA,BEVERLYWOOD,6,2020-03-22
NA,BEVERLYWOOD,7,2020-03-23
NA,BEVERLYWOOD,7,2020-03-24
NA,BEVERLYWOOD,8,2020-03-25
NA,BEVERLYWOOD,10,2020-03-26
LOS ANGELES,BEVERLYWOOD,8,2020-03-27
LOS ANGELES,BEVERLYWOOD,10,2020-03-28
UNINCORPORATED,BOUQUET CANYON,0,2020-03-27
UNINCORPORATED,BOUQUET CANYON,0,2020-03-28
NA,BOYLE HEIGHTS,5,2020-03-17
LOS ANGELES,BOYLE HEIGHTS,5,2020-03-18
NA,BOYLE HEIGHTS,5,2020-03-19
NA,BOYLE HEIGHTS,5,2020-03-20
NA,BOYLE HEIGHTS,5,2020-03-21
NA,BOYLE HEIGHTS,5,2020-03-22
NA,BOYLE HEIGHTS,5,2020-03-23
NA,BOYLE HEIGHTS,5,2020-03-24
NA,BOYLE HEIGHTS,5,2020-03-25
NA,BOYLE HEIGHTS,7,2020-03-26
LOS ANGELES,BOYLE HEIGHTS,8,2020-03-27
LOS ANGELES,BOYLE HEIGHTS,8,2020-03-28
NA,BRADBURY,0,2020-03-27
UNINCORPORATED,BRADBURY,0,2020-03-27
NA,BRADBURY,0,2020-03-28
UNINCORPORATED,BRADBURY,0,2020-03-28
NA,BRENTWOOD,1,2020-03-17
LOS ANGELES,BRENTWOOD,2,2020-03-18
NA,BRENTWOOD,13,2020-03-19
NA,BRENTWOOD,16,2020-03-20
NA,BRENTWOOD,18,2020-03-21
NA,BRENTWOOD,23,2020-03-22
NA,BRENTWOOD,27,2020-03-23
NA,BRENTWOOD,31,2020-03-24
NA,BRENTWOOD,34,2020-03-25
NA,BRENTWOOD,42,2020-03-26
LOS ANGELES,BRENTWOOD,30,2020-03-27
LOS ANGELES,BRENTWOOD,31,2020-03-28
LOS ANGELES,BROOKSIDE,0,2020-03-27
LOS ANGELES,BROOKSIDE,0,2020-03-28
NA,BURBANK,1,2020-03-19
NA,BURBANK,1,2020-03-20
NA,BURBANK,1,2020-03-21
NA,BURBANK,2,2020-03-22
NA,BURBANK,2,2020-03-23
NA,BURBANK,2,2020-03-24
NA,BURBANK,3,2020-03-25
NA,BURBANK,6,2020-03-26
NA,BURBANK,7,2020-03-27
NA,BURBANK,17,2020-03-28
LOS ANGELES,CADILLAC-CORNING,0,2020-03-27
LOS ANGELES,CADILLAC-CORNING,0,2020-03-28
NA,CALABASAS,1,2020-03-19
NA,CALABASAS,1,2020-03-20
NA,CALABASAS,1,2020-03-21
NA,CALABASAS,2,2020-03-22
NA,CALABASAS,3,2020-03-23
NA,CALABASAS,4,2020-03-24
NA,CALABASAS,4,2020-03-25
NA,CALABASAS,5,2020-03-26
NA,CALABASAS,7,2020-03-27
NA,CALABASAS,10,2020-03-28
NA,CANOGA PARK,1,2020-03-22
NA,CANOGA PARK,2,2020-03-23
NA,CANOGA PARK,2,2020-03-24
NA,CANOGA PARK,2,2020-03-25
NA,CANOGA PARK,3,2020-03-26
LOS ANGELES,CANOGA PARK,2,2020-03-27
LOS ANGELES,CANOGA PARK,3,2020-03-28
NA,CANYON COUNTRY,1,2020-03-24
NA,CANYON COUNTRY,1,2020-03-25
NA,CANYON COUNTRY,1,2020-03-26
UNINCORPORATED,CANYON COUNTRY,NA,2020-03-27
UNINCORPORATED,CANYON COUNTRY,NA,2020-03-28
NA,CARSON,1,2020-03-17
NA,CARSON,1,2020-03-18
NA,CARSON,1,2020-03-19
NA,CARSON,3,2020-03-20
NA,CARSON,3,2020-03-21
NA,CARSON,4,2020-03-22
NA,CARSON,6,2020-03-23
NA,CARSON,8,2020-03-24
NA,CARSON,9,2020-03-25
NA,CARSON,21,2020-03-26
NA,CARSON,21,2020-03-27
NA,CARSON,26,2020-03-28
LOS ANGELES,CARTHAY,7,2020-03-27
LOS ANGELES,CARTHAY,9,2020-03-28
NA,CASTAIC,1,2020-03-19
NA,CASTAIC,1,2020-03-20
NA,CASTAIC,1,2020-03-21
NA,CASTAIC,1,2020-03-22
NA,CASTAIC,1,2020-03-23
NA,CASTAIC,2,2020-03-24
NA,CASTAIC,2,2020-03-25
NA,CASTAIC,2,2020-03-26
UNINCORPORATED,CASTAIC,3,2020-03-27
UNINCORPORATED,CASTAIC,4,2020-03-28
LOS ANGELES,CENTRAL,2,2020-03-27
LOS ANGELES,CENTRAL,3,2020-03-28
NA,CENTURY CITY,4,2020-03-20
NA,CENTURY CITY,4,2020-03-21
NA,CENTURY CITY,4,2020-03-22
NA,CENTURY CITY,4,2020-03-23
NA,CENTURY CITY,6,2020-03-24
NA,CENTURY CITY,7,2020-03-25
NA,CENTURY CITY,9,2020-03-26
LOS ANGELES,CENTURY CITY,6,2020-03-27
LOS ANGELES,CENTURY CITY,8,2020-03-28
LOS ANGELES,CENTURY PALMS/COVE,1,2020-03-18
NA,CENTURY PALMS/COVE,1,2020-03-20
NA,CENTURY PALMS/COVE,1,2020-03-21
NA,CENTURY PALMS/COVE,1,2020-03-22
NA,CENTURY PALMS/COVE,1,2020-03-23
NA,CENTURY PALMS/COVE,1,2020-03-24
NA,CENTURY PALMS/COVE,3,2020-03-25
NA,CENTURY PALMS/COVE,3,2020-03-26
LOS ANGELES,CENTURY PALMS/COVE,3,2020-03-27
LOS ANGELES,CENTURY PALMS/COVE,5,2020-03-28
NA,CERRITOS,1,2020-03-21
NA,CERRITOS,2,2020-03-22
NA,CERRITOS,2,2020-03-23
NA,CERRITOS,2,2020-03-24
NA,CERRITOS,2,2020-03-25
NA,CERRITOS,2,2020-03-26
NA,CERRITOS,1,2020-03-27
UNINCORPORATED,CERRITOS,0,2020-03-27
NA,CERRITOS,1,2020-03-28
UNINCORPORATED,CERRITOS,0,2020-03-28
UNINCORPORATED,CHARTER OAK,0,2020-03-28
NA,CHATSWORTH,1,2020-03-26
LOS ANGELES,CHATSWORTH,3,2020-03-27
LOS ANGELES,CHATSWORTH,4,2020-03-28
LOS ANGELES,CHEVIOT HILLS,NA,2020-03-27
LOS ANGELES,CHEVIOT HILLS,NA,2020-03-28
LOS ANGELES,CHINATOWN,0,2020-03-27
LOS ANGELES,CHINATOWN,0,2020-03-28
NA,CLAREMONT,1,2020-03-24
NA,CLAREMONT,1,2020-03-25
NA,CLAREMONT,1,2020-03-26
NA,CLAREMONT,1,2020-03-27
UNINCORPORATED,CLAREMONT,0,2020-03-27
NA,CLAREMONT,1,2020-03-28
UNINCORPORATED,CLAREMONT,0,2020-03-28
NA,CLOVERDALE/COCHRAN,1,2020-03-23
NA,CLOVERDALE/COCHRAN,2,2020-03-24
NA,CLOVERDALE/COCHRAN,3,2020-03-25
NA,CLOVERDALE/COCHRAN,3,2020-03-26
LOS ANGELES,CLOVERDALE/COCHRAN,NA,2020-03-27
LOS ANGELES,CLOVERDALE/COCHRAN,NA,2020-03-28
NA,COMMERCE,0,2020-03-27
NA,COMMERCE,0,2020-03-28
NA,COMPTON,1,2020-03-23
NA,COMPTON,1,2020-03-24
NA,COMPTON,2,2020-03-25
NA,COMPTON,5,2020-03-26
NA,COMPTON,7,2020-03-27
NA,COMPTON,9,2020-03-28
LOS ANGELES,COUNTRY CLUB PARK,NA,2020-03-27
LOS ANGELES,COUNTRY CLUB PARK,NA,2020-03-28
NA,COVINA,1,2020-03-19
NA,COVINA,1,2020-03-20
NA,COVINA,1,2020-03-21
NA,COVINA,1,2020-03-22
NA,COVINA,1,2020-03-23
NA,COVINA,3,2020-03-24
NA,COVINA,3,2020-03-25
NA,COVINA,4,2020-03-26
NA,COVINA,3,2020-03-27
UNINCORPORATED,COVINA,NA,2020-03-27
NA,COVINA,3,2020-03-28
UNINCORPORATED,COVINA,NA,2020-03-28
UNINCORPORATED,COVINA (CHARTER OAK),0,2020-03-27
UNINCORPORATED,COVINA (CHARTER OAK),0,2020-03-28
NA,CRENSHAW DISTRICT,2,2020-03-25
NA,CRENSHAW DISTRICT,2,2020-03-26
LOS ANGELES,CRENSHAW DISTRICT,NA,2020-03-27
LOS ANGELES,CRENSHAW DISTRICT,NA,2020-03-28
NA,CRESTVIEW,1,2020-03-19
NA,CRESTVIEW,1,2020-03-20
NA,CRESTVIEW,4,2020-03-21
NA,CRESTVIEW,5,2020-03-22
NA,CRESTVIEW,6,2020-03-23
NA,CRESTVIEW,7,2020-03-24
NA,CRESTVIEW,7,2020-03-25
NA,CRESTVIEW,9,2020-03-26
LOS ANGELES,CRESTVIEW,7,2020-03-27
LOS ANGELES,CRESTVIEW,9,2020-03-28
NA,CUDAHY,NA,2020-03-27
NA,CUDAHY,NA,2020-03-28
